Name,Link,Location,Price
"4 Bedroom House with boys quarters for sale at Spintex₵4,662,000Spintex",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-for/7930011124.html,Spintex,"₵4,662,000"
"6 Bedroom House with a Garden at Oyibi₵2,220,000Oyibi",https://accra.craigslist.org/reb/d/bedroom-house-with-garden-at-oyibi/7930010481.html,Oyibi,"₵2,220,000"
"5 Bedroom House with pool and security at East Legon₵16,650,000East Legon",https://accra.craigslist.org/reb/d/bedroom-house-with-pool-and-security-at/7930008970.html,East Legon,"₵16,650,000"
"APARTMENT BUILDING FOR SALE AT SPINTEX₵7,659,000SPINTEX",https://accra.craigslist.org/reb/d/apartment-building-for-sale-at-spintex/7930008633.html,SPINTEX,"₵7,659,000"
"COMMERCIAL PROPERTY FOR SALE AT WEST LEGON₵66,600,000West legon",https://accra.craigslist.org/reb/d/commercial-property-for-sale-at-west/7930008078.html,West legon,"₵66,600,000"
"BEACH VIEW RESORT FOR SALE AT TESHIE NUNGUA ESTATES₵144,300,000TESHIE NUNGUA ESTATES",https://accra.craigslist.org/reb/d/beach-view-resort-for-sale-at-teshie/7930007310.html,TESHIE NUNGUA ESTATES,"₵144,300,000"
"4 Bedroom Town Houses at Airport Residential₵8,325,000Airport Residential",https://accra.craigslist.org/reb/d/bedroom-town-houses-at-airport/7930006123.html,Airport Residential,"₵8,325,000"
"4 Bedroom House with a boys quarters for sale at East Legon Trasacco₵9,990,000East Legon Trasacco",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-for/7930005198.html,East Legon Trasacco,"₵9,990,000"
"3.5 Bedroom Furnished Town House at Airport Residential₵7,215,000Airport Residential",https://accra.craigslist.org/reb/d/35-bedroom-furnished-town-house-at/7930004546.html,Airport Residential,"₵7,215,000"
"4 Bedroom Furnished Smart House with a boys quarters and a pool for sa₵5,328,000East Legon Adjringano",https://accra.craigslist.org/reb/d/bedroom-furnished-smart-house-with-boys/7930003693.html,East Legon Adjringano,"₵5,328,000"
"4 Bedroom House with a boys quarters for sale at Ashaley Botwe₵2,775,000Ashaley Botwe",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-for/7930002916.html,Ashaley Botwe,"₵2,775,000"
"4 Bedroom House with a boys quarters and pool for sale at East Legon₵7,215,000East Legon",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-and/7930002218.html,East Legon,"₵7,215,000"
"3 Bedroom House with a boys quarters for sale at Teshie Nungua₵2,109,000Spintex",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-for/7930001133.html,Spintex,"₵2,109,000"
"4 Bedroom House with a boys quarters for sale at East Legon Trasacco₵15,200,752East Legon Trasacco",https://accra.craigslist.org/reb/d/bedroom-house-with-boys-quarters-for/7929999746.html,East Legon Trasacco,"₵15,200,752"
